cik,fyear,Z_score_c,tier1_c,past_due_90,past_due_nonaccrual,non_perf_loan,rssdid,cik_original,gvkey,tic,cusip,conm,roa,roe,leverage,tobinq,mark_to_bk,eps,at,bkvlps,ceq,csho,dlc,dltt,ni,seq,mkvalt,prcc_f
19617,2014,449.4043,0.14079294,8127852.5,11005873,19133726,1039502,19617,2968,JPM,46625H100,JPMORGAN CHASE & CO,0.0084574176,366.60654,2.4368303,1.0079551,4073.4663,5.8582063,2573126,57.069698,212002,3714.7891,296827,268676,21762,232065,232471.5,62.580002
19617,2015,372.34488,0.1571556,6484256.5,9458728,15942984,1039502,19617,2968,JPM,46625H100,JPMORGAN CHASE & CO,0.010393341,440.53946,1.9307275,1.0086721,4000.7749,6.6718073,2351698,60.4631,221505,3663.4751,218863,259133,24442,247573,241899.25,66.029999
19617,2016,543.34039,0.16538453,5819259.5,8537555,14356814,1039502,19617,2968,JPM,46625H100,JPMORGAN CHASE & CO,0.0099290553,599.297,1.9487549,1.0317841,4797.1533,6.9451504,2490972,64.0578,228122,3561.1899,224109,271245,24733,254190,307295.09,86.290001
20405,2000,58.947514,0.1282126,,,,,20405,3066,3614B,17399Z931,CITICORP,0.014702496,,2.9493158,,,8110000,551607,47865000,47865,0.001,78792,62377,8110,47865,,
20405,2001,246.88574,0.13809912,,,,,20405,3066,3614B,17399Z931,CITICORP,0.014903918,,2.1742864,,,9642000,646944,63453000,63453,0.001,79363,58602,9642,63453,,
20405,2002,148.57486,0.14896163,4001889,12215914,16217803,1042351,20405,3066,3614B,17399Z931,CITICORP,0.014723574,,2.0019581,,,10709000,727337,73540000,73540,0.001,89943,57281,10709,73540,,
20405,2003,493.44833,0.14837189,4562911.5,11344854,15907765,1042351,20405,3066,3614B,17399Z931,CITICORP,0.016511342,,2.0612147,,,13541000,820103,81794000,81794,0.001,77489,91106,13541,81794,,
20405,2004,802.46143,0.1534148,4048951.3,8453353,12502304,1042351,20405,3066,3614B,17399Z931,CITICORP,0.017730631,,1.9727814,,,16908000,953604,94678000,94678,0.001,88630,98149,16908,94678,,
22356,2000,461.5798,0.16317755,,,,1049341,22356,3238,CBSH,200525103,COMMERCE BANCSHARES INC,0.016065868,121.2809,0.67196035,1.1363699,145.5072,2.8536682,11115.117,18.277599,1143.755,62.577,643.87402,124.684,178.57401,1143.755,2659.5225,42.5
22356,2001,909.71851,0.16530532,24312.881,35404.844,59717.723,1049341,22356,3238,CBSH,200525103,COMMERCE BANCSHARES INC,0.014103444,108.42744,1.1630709,1.0991184,131.20445,2.7809038,12902.806,19.4459,1272.483,65.436996,1187.402,292.586,181.974,1272.483,2551.3887,38.990002
